Date,Ecocash,Change
10/15/18,2.2,up
10/25/18,1.8,down
10/31/18,2,up
11/2/18,2,same
11/9/18,1.5,down
11/12/18,2,up
11/19/18,2.6,up
11/26/18,2.3,down
12/21/18,3.15,up
1/4/19,3.06,down
1/7/19,3.02,down
1/8/19,3.02,same
1/9/19,3.02,same
1/10/19,3.11,up
1/11/19,3.15,up
1/14/19,3.19,up
1/17/19,3.24,up
1/21/19,3.29,up
1/22/19,3.33,up
1/23/19,3.38,up
1/24/19,3.42,up
1/25/19,3.47,up
1/29/19,3.56,up
1/30/19,3.6,up
1/31/19,3.51,down
2/1/19,3.51,same
2/4/19,3.47,down
2/5/19,3.56,up
2/6/19,3.51,down
2/7/19,3.47,down
2/8/19,3.42,down
2/11/19,3.38,down
2/12/19,3.38,same
2/13/19,3.33,down
2/15/19,3.38,up
2/18/19,3.33,down
2/19/19,3.38,up
2/20/19,3.42,up
2/22/19,3.24,down
2/25/19,3.19,down
2/26/19,3.15,down
2/27/19,3.15,same
2/28/19,3.11,down
3/1/19,3.15,up
3/2/19,332.5,up
3/3/19,332.5,same
3/4/19,3.15,down
3/5/19,3.19,up
3/6/19,3.19,same
3/7/19,3.24,up
3/8/19,3.24,same
3/11/19,3.19,down
3/12/19,3.19,same
3/13/19,3.19,same
3/14/19,3.24,up
3/15/19,3.29,up
3/18/19,3.29,same
3/19/19,3.33,up
3/20/19,3.33,same
3/21/19,3.38,up
3/22/19,3.38,same
3/25/19,3.33,down
3/26/19,3.42,up
3/27/19,3.69,up
3/28/19,3.78,up
3/29/19,3.78,same
4/1/19,3.83,up
4/2/19,4.04,up
4/3/19,4.08,up
4/4/19,4.32,up
4/5/19,3.99,down
4/6/19,4.2,up
4/7/19,3.99,down
4/8/19,4.27,up
4/9/19,4.04,down
4/10/19,4.32,up
4/11/19,4.37,up
4/12/19,4.66,up
4/13/19,4.66,same
4/14/19,4.66,same
4/15/19,4.66,same
4/16/19,4.7,up
4/17/19,4.56,down
4/18/19,4.56,same
4/19/19,4.56,same
4/20/19,4.56,same
4/21/19,4.56,same
4/22/19,4.56,same
4/23/19,4.61,up
4/24/19,4.66,up
4/25/19,4.7,up
4/26/19,4.7,same
4/27/19,4.7,same
4/28/19,4.7,same
4/29/19,4.66,down
4/30/19,4.61,down
5/1/19,4.85,up
5/2/19,4.56,down
5/3/19,4.61,up
5/4/19,4.61,same
5/5/19,4.61,same
5/6/19,4.66,up
5/7/19,4.66,same
5/8/19,4.7,up
5/9/19,4.56,down
5/10/19,4.66,up
5/11/19,4.9,up
5/12/19,4.9,same
5/13/19,4.68,down
5/14/19,4.94,up
5/15/19,5.22,up
5/16/19,5.51,up
5/17/19,5.84,up
5/18/19,6.15,up
5/19/19,6.15,same
5/20/19,5.13,down
5/21/19,5.61,up
5/22/19,6.55,up
5/23/19,6.84,up
5/24/19,6.65,down
5/25/19,6.65,same
5/26/19,6.65,same
5/27/19,6.93,up
5/28/19,7.13,up
5/29/19,7.13,same
5/30/19,7.03,down
5/31/19,6.93,down
6/1/19,7.3,up
6/2/19,7.3,same
6/3/19,7.13,down
6/4/19,7.41,up
6/5/19,7.5,up
6/6/19,7.5,same
6/7/19,7.6,up
6/8/19,7.6,same
6/9/19,7.6,same
6/10/19,7.79,up
6/11/19,7.98,up
6/12/19,8.07,up
6/13/19,8.26,up
6/14/19,8.36,up
6/15/19,8.36,same
6/16/19,8.36,same
6/17/19,8.55,up
6/18/19,9.03,up
6/19/19,9.69,up
6/20/19,10.92,up
6/21/19,11.59,up
6/22/19,11.59,same
6/23/19,11.59,same
6/24/19,12.82,up
6/25/19,11.88,down
6/26/19,10.92,down
6/27/19,10.45,down
6/28/19,9,down
6/29/19,9,same
6/30/19,9,same
7/1/19,8.46,down
7/2/19,8.79,up
7/3/19,9.5,up
7/4/19,9.79,up
7/5/19,9.79,same
7/6/19,9.79,same
7/7/19,9.79,same
7/8/19,10.45,up
7/9/19,10.73,up
7/10/19,10.45,down
7/11/19,10.26,down
7/12/19,10.16,down
7/13/19,10.16,same
7/14/19,10.16,same
7/15/19,9.88,down
7/16/19,9.69,down
7/17/19,9.79,up
7/18/19,9.88,up
7/19/19,9.79,down
7/20/19,9.79,same
7/21/19,9.79,same
7/22/19,9.69,down
7/23/19,9.69,same
7/24/19,9.79,up
7/25/19,9.88,up
7/26/19,9.97,up
7/27/19,9.97,same
7/28/19,9.97,same
7/29/19,10.07,up
7/30/19,10.07,same
7/31/19,10.12,up
8/1/19,10.12,same
8/2/19,10.16,up
8/3/19,10.16,same
8/4/19,10.16,same
8/5/19,10.21,up
8/6/19,10.26,up
8/7/19,10.45,up
8/8/19,10.54,up
8/9/19,10.45,down
8/10/19,10.45,same
8/11/19,11,up
8/12/19,10.45,down
8/13/19,11,up
8/14/19,10.45,down
8/15/19,10.36,down
8/16/19,10.54,up
8/17/19,10.54,same
8/18/19,10.54,same
8/19/19,10.64,up
8/20/19,10.64,same
8/21/19,10.69,up
8/22/19,10.69,same
8/23/19,10.73,up
8/24/19,10.73,same
8/25/19,10.73,same
8/26/19,10.73,same
8/27/19,10.78,up
8/28/19,10.92,up
8/29/19,11.02,up
8/30/19,11.78,up
8/31/19,11.78,same
9/1/19,11.78,same
9/2/19,11.88,up
9/3/19,12.16,up
9/4/19,12.73,up
9/5/19,13.68,up
9/6/19,13.96,up
9/7/19,13.96,same
9/8/19,13.96,same
9/9/19,14.06,up
9/10/19,14.15,up
9/11/19,14.25,up
9/12/19,14.44,up
9/13/19,15.01,up
9/14/19,15.01,same
9/15/19,15.01,same
9/16/19,15.39,up
9/17/19,15.77,up
9/18/19,17.57,up
9/19/19,18.71,up
9/20/19,19.47,up
9/21/19,19.47,same
9/22/19,19.47,same
9/23/19,17.1,down
9/24/19,16.63,down
9/25/19,17.1,up
9/26/19,17.57,up
9/27/19,18.05,up
9/28/19,18.05,same
9/29/19,18.05,same
9/30/19,18.05,same
10/1/19,17.57,down
10/2/19,17.76,up
10/3/19,17.29,down
10/4/19,17.1,down
10/5/19,17.1,same
10/6/19,17.1,same
10/7/19,17.1,same
10/8/19,17.1,same
10/9/19,17.29,up
10/10/19,17.57,up
10/11/19,18.05,up
10/12/19,18.05,same
10/13/19,18.05,same
10/14/19,18.14,up
10/15/19,18.14,same
10/16/19,18.52,up
10/17/19,19,up
10/18/19,19.47,up
10/19/19,19.47,same
10/20/19,19.47,same
10/21/19,19.19,down
10/22/19,19.29,up
10/23/19,19.47,up
10/24/19,19.95,up
10/25/19,19.95,same
10/26/19,19.95,same
10/27/19,19.95,same
10/28/19,20.14,up
10/29/19,20.23,up
10/30/19,20.23,same
10/31/19,20.14,down
11/1/19,20.14,same
11/2/19,20.14,same
11/3/19,20.14,same
11/4/19,18.9,down
11/5/19,18.9,same
11/6/19,19.76,up
11/7/19,20.05,up
11/8/19,20.23,up
11/9/19,20.23,same
11/10/19,20.23,same
11/11/19,19.47,down
11/12/19,19.47,same
11/13/19,20.05,up
11/14/19,20.23,up
11/15/19,20.9,up
11/16/19,20.9,same
11/17/19,20.9,same
11/18/19,21.09,up
11/19/19,21.09,same
11/20/19,21.18,up
11/21/19,21.18,same
11/22/19,21.18,same
11/23/19,21.18,same
11/24/19,21.18,same
11/25/19,21.18,same
11/26/19,21.38,up
11/27/19,21.85,up
11/28/19,22.04,up
11/29/19,22.32,up
11/30/19,22.32,same
12/1/19,22.32,same
12/2/19,22.42,up
12/3/19,22.42,same
12/4/19,22.13,down
12/5/19,22.04,down
12/6/19,22.13,up
12/7/19,22.13,same
12/8/19,22.13,same
12/9/19,21.75,down
12/10/19,21.85,up
12/11/19,21.95,up
12/12/19,21.66,down
12/13/19,21.66,same
12/14/19,21.66,same
12/15/19,21.66,same
12/16/19,21.66,same
12/17/19,21.75,up
12/18/19,21.85,up
12/19/19,21.95,up
12/20/19,21.95,same
12/21/19,21.95,same
12/22/19,21.95,same
12/23/19,21.95,same
12/24/19,21.66,down
12/25/19,21.66,same
12/26/19,21.66,same
12/27/19,21.66,same
12/28/19,21.66,same
12/29/19,21.66,same
12/30/19,21.56,down
12/31/19,21.56,same
1/1/20,21.56,same
1/2/20,21.66,up
1/3/20,21.66,same
1/4/20,21.66,same
1/5/20,21.66,same
1/6/20,21.75,up
1/7/20,21.85,up
1/8/20,22.23,up
1/9/20,22.32,up
1/10/20,22.51,up
1/11/20,22.51,same
1/12/20,22.51,same
1/13/20,22.51,same
1/14/20,22.32,down
1/15/20,22.42,up
1/16/20,22.7,up
1/17/20,22.7,same
1/18/20,22.7,same
1/19/20,22.7,same
1/20/20,22.51,down
1/21/20,22.89,up
1/22/20,23.09,up
1/23/20,23.75,up
1/24/20,24.22,up
1/25/20,24.22,same
1/26/20,24.22,same
1/27/20,23.37,down
1/28/20,23.37,same
1/29/20,23.46,up
1/30/20,23.27,down
1/31/20,23.75,up
2/1/20,23.75,same
2/2/20,23.75,same
2/3/20,23.37,down
2/4/20,23.46,up
2/5/20,23.75,up
2/6/20,24.22,up
2/7/20,24.32,up
2/8/20,24.32,same
2/9/20,24.32,same
2/10/20,24.7,up
2/11/20,24.7,same
2/12/20,25.65,up
2/13/20,26.22,up
2/14/20,27.07,up
2/15/20,27.07,same
2/16/20,27.07,same
2/17/20,27.26,up
2/18/20,27.26,same
2/19/20,27.17,down
2/20/20,27.17,same
2/21/20,27.17,same
2/22/20,27.17,same
2/23/20,27.17,same
2/24/20,27.26,up
2/25/20,27.26,same
2/26/20,27.17,down
2/27/20,28.4,up
2/28/20,29.45,up
2/29/20,29.45,same
3/1/20,29.45,same
3/2/20,29.26,down
3/3/20,29.92,up
3/4/20,30.88,up
3/5/20,32.3,up
3/6/20,33.25,up
3/7/20,33.25,same
3/8/20,33.25,same
3/9/20,33.73,up
3/10/20,36.1,up
3/11/20,38.95,up
3/12/20,39.42,up
3/13/20,39.9,up
3/14/20,39.9,same
3/15/20,39.9,same
3/16/20,40.38,up
3/17/20,41.42,up
3/18/20,41.99,up
3/19/20,41.99,same
3/20/20,42.08,up
3/21/20,42.08,same
3/22/20,42.08,same
3/23/20,42.27,up
3/24/20,42.75,up
3/25/20,42.56,down
3/26/20,42.56,same
3/27/20,41.32,down
3/28/20,41.32,same
3/29/20,41.32,same
3/30/20,37.05,down
3/31/20,36.57,down
4/1/20,36.57,same
4/2/20,37.05,up
4/3/20,38.48,up
4/4/20,38.48,same
4/5/20,38.48,same
4/6/20,42.27,up
4/7/20,42.75,up
4/8/20,44.65,up
4/9/20,46.55,up
4/10/20,45.6,down
4/11/20,45.6,same
4/12/20,45.6,same
4/13/20,45.6,same
4/14/20,46.55,up
4/15/20,46.55,same
4/16/20,46.83,up
4/17/20,47.02,up
4/18/20,47.02,same
4/19/20,47.02,same
4/20/20,46.55,down
4/21/20,46.55,same
4/22/20,46.07,down
4/23/20,46.07,same
4/24/20,46.55,up
4/25/20,39.9,down
4/26/20,46.55,up
4/27/20,47.02,up
4/28/20,47.5,up
4/29/20,47.97,up
4/30/20,47.97,same
5/1/20,47.97,same
5/2/20,47.97,same
5/3/20,47.97,same
5/4/20,47.97,same
5/5/20,47.97,same
5/6/20,47.02,down
5/7/20,47.02,same
5/8/20,46.55,down
5/9/20,46.55,same
5/10/20,46.55,same
5/11/20,46.74,up
5/12/20,47.31,up
5/13/20,47.69,up
5/14/20,47.97,up
5/15/20,50.35,up
5/16/20,50.35,same
5/17/20,50.35,same
5/18/20,54.15,up
5/19/20,57,up
5/20/20,57.47,up
5/21/20,59.85,up
5/22/20,66.5,up
5/23/20,66.5,same
5/24/20,66.5,same
5/26/20,66.5,same
5/27/20,67.45,up
5/28/20,67.45,same
5/29/20,67.45,same
5/30/20,67.45,same
5/31/20,67.45,same
6/1/20,71.25,up
6/2/20,72.2,up
6/3/20,72.2,same
6/4/20,73.15,up
6/5/20,74.58,up
6/6/20,74.58,same
6/7/20,74.58,same
6/8/20,75.05,up
6/9/20,76,up
6/10/20,76.95,up
6/11/20,77.9,up
6/12/20,85.5,up
6/13/20,85.5,same
6/14/20,85.5,same
6/15/20,87.4,up
6/16/20,87.4,same
6/17/20,89.3,up
6/18/20,93.1,up
6/19/20,95,up
6/20/20,95,same
6/21/20,95,same
6/22/20,95,same
6/23/20,95,same
6/24/20,96.9,up
6/25/20,99.75,up
6/26/20,99.75,same
6/27/20,99.75,same
6/28/20,99.75,same
6/29/20,96.9,down
6/30/20,95,down
7/1/20,95,same
7/2/20,90.25,down
7/3/20,87.4,down
7/4/20,87.4,same
7/5/20,87.4,same
7/6/20,87.4,same
7/7/20,85.5,down
7/8/20,84.55,down
7/9/20,83.6,down
7/10/20,83.6,same
7/11/20,83.6,same
7/12/20,83.6,same
7/13/20,85.5,up
7/14/20,87.4,up
7/15/20,87.4,same
7/16/20,89.3,up
7/17/20,89.3,same
7/18/20,89.3,same
7/19/20,89.3,same
7/20/20,89.3,same
7/21/20,90.25,up
7/22/20,91.2,up
7/23/20,90.25,down
7/24/20,90.25,same
7/25/20,90.25,same
7/26/20,90.25,same
7/27/20,91.2,up
7/28/20,91.2,same
7/29/20,91.2,same
7/30/20,92.15,up
7/31/20,92.15,same
8/1/20,92.15,same
8/2/20,92.15,same
8/3/20,93.1,up
8/4/20,93.1,same
8/5/20,92.15,down
8/6/20,91.2,down
8/7/20,92.15,up
8/8/20,92.15,same
8/9/20,92.15,same
8/10/20,92.15,same
8/11/20,92.15,same
8/12/20,93.1,up
8/13/20,93.1,same
8/14/20,92.15,down
8/15/20,92.15,same
8/16/20,92.15,same
8/17/20,93.1,up
8/18/20,93.1,same
8/19/20,93.1,same
8/20/20,92.15,down
8/21/20,91.2,down
8/22/20,91.2,same
8/23/20,91.2,same
8/24/20,90.25,down
8/25/20,90.25,same
8/26/20,90.25,same
8/27/20,90.25,same
8/28/20,91.2,up
8/29/20,91.2,same
8/30/20,91.2,same
8/31/20,91.2,same
9/1/20,95,up
9/2/20,95,same
9/3/20,95,same
9/4/20,95,same
9/5/20,95,same
9/6/20,95,same
9/7/20,95,same
9/8/20,95.95,up
9/9/20,95.95,same
9/10/20,96.9,up
9/11/20,96.9,same
9/12/20,96.9,same
9/13/20,96.9,same
9/14/20,96.9,same
9/15/20,95.95,down
9/16/20,95.95,same
9/17/20,95,down
9/18/20,95,same
9/19/20,95,same
9/20/20,95,same
9/21/20,95,same
9/22/20,95,same
9/23/20,95,same
9/24/20,95,same
9/25/20,93.1,down
9/26/20,93.1,same
9/27/20,93.1,same
9/28/20,93.1,same
9/29/20,92.15,down
9/30/20,92.15,same
10/1/20,92.15,same
10/2/20,92.15,same
10/3/20,92.15,same
10/4/20,92.15,same
10/5/20,92.15,same
10/6/20,92.15,same
10/7/20,93.1,up
10/8/20,93.1,same
10/9/20,93.1,same
10/10/20,93.1,same
10/11/20,93.1,same
10/12/20,93.1,same
10/13/20,93.1,same
10/14/20,93.1,same
10/15/20,94.05,up
10/16/20,94.05,same
10/17/20,94.05,same
10/18/20,94.05,same
10/19/20,95,up
10/20/20,95,same
10/21/20,95,same
10/22/20,95,same
10/23/20,95,same
10/24/20,95,same
10/25/20,95,same
10/26/20,96.9,up
10/27/20,96.9,same
10/28/20,96.9,same
10/29/20,95.95,down
10/30/20,95.95,same
10/31/20,95.95,same
11/1/20,95.95,same
11/2/20,95.95,same
11/3/20,95.95,same
11/4/20,95.95,same
11/5/20,95.95,same
11/6/20,95.95,same
11/7/20,95.95,same
11/8/20,95.95,same
11/9/20,95.95,same
11/10/20,95.95,same
11/11/20,95.95,same
11/12/20,95.95,same
11/13/20,95.95,same
11/14/20,95.95,same
11/15/20,95.95,same
11/16/20,95.95,same
11/17/20,95.95,same
11/18/20,95.95,same
11/19/20,95.95,same
11/20/20,95.95,same
11/21/20,95.95,same
11/22/20,95.95,same
11/23/20,96.9,up
11/24/20,96.9,same
11/25/20,96.9,same
11/26/20,96.9,same
11/27/20,96.9,same
11/28/20,96.9,same
11/29/20,96.9,same
11/30/20,97.85,up
12/1/20,97.85,same
12/2/20,97.85,same
12/3/20,99.75,up
12/4/20,99.75,same
12/5/20,99.75,same
12/6/20,99.75,same
12/7/20,99.75,same
12/8/20,99.75,same
12/9/20,99.75,same
12/10/20,99.75,same
12/11/20,99.75,same
12/12/20,99.75,same
12/13/20,99.75,same
12/14/20,99.75,same
12/15/20,99.75,same
12/16/20,99.75,same
12/17/20,99.75,same
12/18/20,102.6,up
12/19/20,102.6,same
12/20/20,102.6,same
12/21/20,104.5,up
12/22/20,104.5,same
12/23/20,105.45,up
12/24/20,105.45,same
12/25/20,105.45,same
12/26/20,105.45,same
12/27/20,105.45,same
12/28/20,105.45,same
12/29/20,105.45,same
12/30/20,105.45,same
12/31/20,105.45,same
1/1/21,105.45,same
1/2/21,105.45,same
